DATE,IPB51000N
1958-05-01,28.0580
1958-06-01,29.4919
1958-07-01,28.6780
1958-08-01,30.6158
1958-09-01,31.0033
1958-10-01,31.1583
1958-11-01,31.5071
1958-12-01,30.4220
1959-01-01,31.3521
1959-02-01,32.0497
1959-03-01,32.0497
1959-04-01,32.0884
1959-05-01,32.0109
1959-06-01,32.6697
1959-07-01,31.8171
1959-08-01,33.4448
1959-09-01,33.9486
1959-10-01,34.1811
1959-11-01,32.1272
1959-12-01,31.9334
1960-01-01,33.5998
1960-02-01,33.7936
1960-03-01,33.7161
1960-04-01,33.6386
1960-05-01,33.5223
1960-06-01,34.2586
1960-07-01,32.3597
1960-08-01,33.9874
1960-09-01,34.8012
1960-10-01,35.4600
1960-11-01,33.4448
1960-12-01,31.9334
1961-01-01,32.0497
1961-02-01,32.8635
1961-03-01,32.8635
1961-04-01,33.4448
1961-05-01,33.5998
1961-06-01,34.9562
1961-07-01,33.3673
1961-08-01,35.0337
1961-09-01,36.3126
1961-10-01,37.0877
1961-11-01,36.2351
1961-12-01,34.9562
1962-01-01,35.0337
1962-02-01,35.9251
1962-03-01,36.3901
1962-04-01,36.3901
1962-05-01,36.3126
1962-06-01,37.1652
1962-07-01,36.0413
1962-08-01,36.4289
1962-09-01,38.7154
1962-10-01,38.7541
1962-11-01,37.3202
1962-12-01,36.1964
1963-01-01,36.8939
1963-02-01,38.2891
1963-03-01,38.5216
1963-04-01,38.3666
1963-05-01,38.0953
1963-06-01,39.6842
1963-07-01,37.1652
1963-08-01,38.1341
1963-09-01,40.6531
1963-10-01,41.4282
1963-11-01,39.7617
1963-12-01,38.0565
1964-01-01,39.2192
1964-02-01,40.3818
1964-03-01,39.7230
1964-04-01,40.7693
1964-05-01,40.6918
1964-06-01,41.8932
1964-07-01,39.5292
1964-08-01,40.7306
1964-09-01,42.9783
1964-10-01,42.2807
1964-11-01,41.9707
1964-12-01,40.9631
1965-01-01,42.4358
1965-02-01,43.5209
1965-03-01,44.1022
1965-04-01,43.3659
1965-05-01,43.4821
1965-06-01,45.1486
1965-07-01,42.2420
1965-08-01,43.2496
1965-09-01,45.6911
1965-10-01,47.2413
1965-11-01,45.6524
1965-12-01,43.5209
1966-01-01,44.6835
1966-02-01,46.0012
1966-03-01,46.3112
1966-04-01,45.9236
1966-05-01,45.6136
1966-06-01,47.5126
1966-07-01,43.9084
1966-08-01,45.4198
1966-09-01,48.9465
1966-10-01,49.7603
1966-11-01,47.5513
1966-12-01,45.0323
1967-01-01,46.0399
1967-02-01,46.5031
1967-03-01,46.6881
1967-04-01,47.3617
1967-05-01,46.3852
1967-06-01,48.7603
1967-07-01,44.3980
1967-08-01,47.1331
1967-09-01,50.4492
1967-10-01,50.2629
1967-11-01,48.9619
1967-12-01,47.5317
1968-01-01,47.7392
1968-02-01,49.2435
1968-03-01,49.8400
1968-04-01,49.0863
1968-05-01,49.6736
1968-06-01,52.2493
1968-07-01,47.9058
1968-08-01,49.4566
1968-09-01,53.8579
1968-10-01,53.9656
1968-11-01,52.3907
1968-12-01,49.1481
1969-01-01,50.4348
1969-02-01,52.1427
1969-03-01,52.6970
1969-04-01,51.4145
1969-05-01,51.1828
1969-06-01,54.0556
1969-07-01,49.9611
1969-08-01,52.8695
1969-09-01,55.8921
1969-10-01,55.1747
1969-11-01,52.0678
1969-12-01,49.3878
1970-01-01,49.6338
1970-02-01,51.5395
1970-03-01,51.5924
1970-04-01,51.4000
1970-05-01,51.9336
1970-06-01,54.3769
1970-07-01,50.1913
1970-08-01,51.9756
1970-09-01,54.6150
1970-10-01,52.9745
1970-11-01,50.1162
1970-12-01,49.6274
1971-01-01,51.6395
1971-02-01,53.2313
1971-03-01,53.4147
1971-04-01,53.4913
1971-05-01,53.8328
1971-06-01,56.3444
1971-07-01,52.4279
1971-08-01,55.1956
1971-09-01,58.6382
1971-10-01,58.6073
1971-11-01,56.1582
1971-12-01,52.7059
1972-01-01,55.9890
1972-02-01,57.6609
1972-03-01,57.8205
1972-04-01,58.6682
1972-05-01,58.0554
1972-06-01,59.9169
1972-07-01,55.8326
1972-08-01,58.8986
1972-09-01,61.2758
1972-10-01,62.3682
1972-11-01,61.6342
1972-12-01,60.4929
1973-01-01,61.2574
1973-02-01,62.9897
1973-03-01,63.0604
1973-04-01,61.6908
1973-05-01,61.6450
1973-06-01,63.0483
1973-07-01,59.2386
1973-08-01,59.7517
1973-09-01,62.5876
1973-10-01,63.2838
1973-11-01,62.4899
1973-12-01,59.4580
1974-01-01,59.9199
1974-02-01,60.3549
1974-03-01,60.4563
1974-04-01,59.4307
1974-05-01,60.1891
1974-06-01,62.1865
1974-07-01,58.9654
1974-08-01,60.4658
1974-09-01,61.4077
1974-10-01,61.5889
1974-11-01,58.8037
1974-12-01,55.8718
1975-01-01,55.2858
1975-02-01,55.1329
1975-03-01,54.8694
1975-04-01,55.8294
1975-05-01,55.4753
1975-06-01,57.9228
1975-07-01,56.2631
1975-08-01,58.6206
1975-09-01,60.4353
1975-10-01,60.5570
1975-11-01,59.8650
1975-12-01,59.2935
1976-01-01,61.1829
1976-02-01,62.2407
1976-03-01,61.8118
1976-04-01,60.7636
1976-05-01,61.5076
1976-06-01,62.9433
1976-07-01,59.8055
1976-08-01,61.7915
1976-09-01,62.9455
1976-10-01,63.8047
1976-11-01,63.8910
1976-12-01,63.5894
1977-01-01,64.5048
1977-02-01,66.1687
1977-03-01,65.8708
1977-04-01,65.2148
1977-05-01,65.1249
1977-06-01,67.4904
1977-07-01,64.3763
1977-08-01,65.5052
1977-09-01,67.2425
1977-10-01,68.1647
1977-11-01,67.0627
1977-12-01,66.6967
1978-01-01,66.0666
1978-02-01,68.2339
1978-03-01,68.8625
1978-04-01,69.1431
1978-05-01,67.5766
1978-06-01,69.6696
1978-07-01,65.9067
1978-08-01,67.5032
1978-09-01,69.4161
1978-10-01,69.5363
1978-11-01,68.5980
1978-12-01,67.8875
1979-01-01,68.3009
1979-02-01,69.1266
1979-03-01,69.2369
1979-04-01,66.1059
1979-05-01,66.7773
1979-06-01,68.2449
1979-07-01,64.7512
1979-08-01,65.9326
1979-09-01,67.3600
1979-10-01,67.5369
1979-11-01,66.3696
1979-12-01,65.7854
1980-01-01,66.1336
1980-02-01,67.1477
1980-03-01,66.5066
1980-04-01,64.0949
1980-05-01,62.3684
1980-06-01,63.6711
1980-07-01,61.4139
1980-08-01,63.8972
1980-09-01,65.0787
1980-10-01,65.2162
1980-11-01,64.5481
1980-12-01,64.1337
1981-01-01,65.0681
1981-02-01,65.2613
1981-03-01,65.0145
1981-04-01,63.8099
1981-05-01,64.2897
1981-06-01,65.5743
1981-07-01,63.8430
1981-08-01,65.9589
1981-09-01,65.6997
1981-10-01,65.9296
1981-11-01,64.9168
1981-12-01,63.9883
1982-01-01,63.9580
1982-02-01,65.8017
1982-03-01,65.0514
1982-04-01,63.7039
1982-05-01,63.5536
1982-06-01,65.7331
1982-07-01,63.6292
1982-08-01,65.6464
1982-09-01,65.9260
1982-10-01,65.7118
1982-11-01,64.6356
1982-12-01,63.5820
1983-01-01,66.3342
1983-02-01,65.4731
1983-03-01,65.5514
1983-04-01,65.5445
1983-05-01,65.3077
1983-06-01,67.4504
1983-07-01,65.9074
1983-08-01,68.4967
